Date	Water vapor H2O (vol-%)	Residual	Carbon dioxide CO2 (ppm)	Residual	Methane CH4 (ppm)	Residual	Nitrous oxide N2O (ppm)	Residual	Carbon monoxide CO (ppm)	Residual	Ammonia NH3 (ppm)	Residual	Ambient pressure (mbar)	Residual	Cell temperature (°C)	Residual	Longitude GPS (ppm)	Residual	Latitude GPS (ppm)	Residual	Spectrum file	Library file
2020-05-19 12:17:52	  0.31	0.0011	 578.5	0.0010	  1.86	0.0008	 0.298	0.0007	  0.00	0.0006	  0.00	0.0015	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 60 05192020_000018.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:18:16	  0.31	0.0009	 566.0	0.0011	  1.90	0.0010	 0.335	0.0005	  0.14	0.0005	  0.02	0.0010	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 60 05192020_000019.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:18:40	  0.31	0.0011	 534.1	0.0011	  1.67	0.0012	 0.330	0.0008	  0.00	0.0007	  0.00	0.0009	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 60 05192020_000020.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:19:04	  0.32	0.0011	 505.1	0.0007	  1.98	0.0013	 0.311	0.0006	  0.00	0.0006	  0.18	0.0013	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 60 05192020_000021.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:19:28	  0.32	0.0010	 497.8	0.0008	  1.83	0.0010	 0.331	0.0007	  0.00	0.0006	  0.00	0.0007	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 60 05192020_000022.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:19:51	  0.31	0.0012	 490.7	0.0009	  1.80	0.0012	 0.304	0.0005	  0.00	0.0006	  0.08	0.0011	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 60 05192020_000023.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:20:15	  0.32	0.0008	 495.0	0.0010	  1.79	0.0008	 0.356	0.0006	  0.00	0.0007	  0.02	0.0018	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 60 05192020_000024.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:20:39	  0.32	0.0020	 502.1	0.0007	  1.83	0.0012	 0.379	0.0006	  0.00	0.0008	  0.00	0.0009	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 60 05192020_000025.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:21:03	  0.31	0.0013	 501.4	0.0010	  1.70	0.0016	 0.358	0.0007	  0.00	0.0007	  0.06	0.0010	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 60 05192020_000026.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:21:27	  0.32	0.0016	 507.2	0.0007	  1.88	0.0014	 0.336	0.0007	  0.00	0.0007	  0.00	0.0008	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 60 05192020_000027.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:21:50	  0.32	0.0019	 516.8	0.0008	  1.56	0.0015	 0.367	0.0006	  0.00	0.0007	  0.00	0.0012	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 60 05192020_000028.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:22:14	  0.30	0.0009	 523.5	0.0010	  1.75	0.0011	 0.373	0.0006	  0.00	0.0006	  0.00	0.0020	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 60 05192020_000029.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:22:38	  0.32	0.0014	 529.5	0.0009	  1.83	0.0010	 0.373	0.0007	  0.00	0.0008	  0.02	0.0017	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 60 05192020_000030.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:23:02	  0.31	0.0018	 538.9	0.0009	  1.76	0.0013	 0.374	0.0007	  0.00	0.0007	  0.08	0.0007	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 60 05192020_000031.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:23:26	  0.32	0.0015	 549.1	0.0009	  1.89	0.0015	 0.384	0.0006	  0.00	0.0008	  0.00	0.0011	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 60 05192020_000032.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:23:50	  0.32	0.0011	 560.5	0.0010	  1.65	0.0011	 0.365	0.0009	  0.00	0.0008	  0.13	0.0009	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 60 05192020_000033.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:24:14	  0.33	0.0016	 570.1	0.0009	  1.88	0.0010	 0.376	0.0008	  0.00	0.0008	  0.00	0.0010	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 60 05192020_000034.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
