Date	Water vapor H2O (vol-%)	Residual	Carbon dioxide CO2 (ppm)	Residual	Methane CH4 (ppm)	Residual	Nitrous oxide N2O (ppm)	Residual	Carbon monoxide CO (ppm)	Residual	Ammonia NH3 (ppm)	Residual	Ambient pressure (mbar)	Residual	Cell temperature (°C)	Residual	Longitude GPS (ppm)	Residual	Latitude GPS (ppm)	Residual	Spectrum file	Library file
2020-05-20 12:56:11	  0.35	0.0011	 620.7	0.0016	  1.82	0.0015	 0.485	0.0006	  0.00	0.0009	  0.02	0.0008	985.00	0.0000	 34.00	0.0000	 44.71	0.0000	-93.08	0.0000	V8 29 05202020_000099.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-20 12:56:35	  0.37	0.0012	 616.1	0.0013	  1.86	0.0011	 0.485	0.0007	  0.00	0.0006	  0.00	0.0011	985.00	0.0000	 34.00	0.0000	 44.71	0.0000	-93.08	0.0000	V8 29 05202020_000100.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-20 12:57:00	  0.37	0.0011	 584.1	0.0013	  1.81	0.0012	 0.454	0.0008	  0.00	0.0008	  0.09	0.0016	985.00	0.0000	 34.00	0.0000	 44.71	0.0000	-93.08	0.0000	V8 29 05202020_000101.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-20 12:57:24	  0.38	0.0010	 566.4	0.0010	  1.80	0.0011	 0.466	0.0006	  0.00	0.0007	  0.02	0.0012	985.00	0.0000	 34.00	0.0000	 44.71	0.0000	-93.08	0.0000	V8 29 05202020_000102.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-20 12:57:49	  0.37	0.0012	 557.4	0.0011	  1.84	0.0013	 0.505	0.0005	  0.00	0.0009	  0.08	0.0011	985.00	0.0000	 34.00	0.0000	 44.71	0.0000	-93.08	0.0000	V8 29 05202020_000103.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-20 12:58:13	  0.36	0.0018	 563.1	0.0008	  1.88	0.0010	 0.506	0.0007	  0.00	0.0011	  0.00	0.0009	985.00	0.0000	 34.00	0.0000	 44.71	0.0000	-93.08	0.0000	V8 29 05202020_000104.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-20 12:58:38	  0.37	0.0014	 564.5	0.0008	  1.79	0.0010	 0.491	0.0006	  0.00	0.0009	  0.02	0.0017	985.00	0.0000	 34.00	0.0000	 44.71	0.0000	-93.08	0.0000	V8 29 05202020_000105.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-20 12:59:02	  0.38	0.0010	 569.7	0.0013	  1.91	0.0009	 0.547	0.0007	  0.00	0.0011	  0.00	0.0012	985.00	0.0000	 34.00	0.0000	 44.71	0.0000	-93.08	0.0000	V8 29 05202020_000106.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-20 12:59:26	  0.39	0.0013	 578.4	0.0012	  1.73	0.0011	 0.509	0.0006	  0.00	0.0009	  0.15	0.0012	985.00	0.0000	 35.00	0.0000	 44.71	0.0000	-93.08	0.0000	V8 29 05202020_000107.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-20 12:59:51	  0.37	0.0013	 590.0	0.0011	  1.67	0.0013	 0.529	0.0006	  0.00	0.0010	  0.08	0.0012	985.00	0.0000	 34.00	0.0000	 44.71	0.0000	-93.08	0.0000	V8 29 05202020_000108.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-20 13:00:16	  0.40	0.0011	 601.9	0.0009	  1.99	0.0009	 0.510	0.0009	  0.00	0.0009	  0.00	0.0009	985.00	0.0000	 34.00	0.0000	 44.71	0.0000	-93.08	0.0000	V8 29 05202020_000109.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-20 13:00:40	  0.38	0.0011	 614.6	0.0012	  1.60	0.0013	 0.517	0.0008	  0.00	0.0008	  0.00	0.0010	985.00	0.0000	 35.00	0.0000	 44.71	0.0000	-93.08	0.0000	V8 29 05202020_000110.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-20 13:01:05	  0.37	0.0008	 632.9	0.0018	  1.82	0.0008	 0.577	0.0006	  0.00	0.0009	  0.08	0.0008	985.00	0.0000	 35.00	0.0000	 44.71	0.0000	-93.08	0.0000	V8 29 05202020_000111.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-20 13:01:29	  0.36	0.0014	 646.7	0.0015	  1.74	0.0012	 0.576	0.0006	  0.00	0.0009	  0.00	0.0010	985.00	0.0000	 35.00	0.0000	 44.71	0.0000	-93.08	0.0000	V8 29 05202020_000112.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-20 13:01:53	  0.35	0.0016	 660.9	0.0017	  1.86	0.0014	 0.612	0.0007	  0.00	0.0008	  0.09	0.0012	985.00	0.0000	 35.00	0.0000	 44.71	0.0000	-93.08	0.0000	V8 29 05202020_000113.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-20 13:02:18	  0.35	0.0016	 675.6	0.0020	  1.89	0.0009	 0.614	0.0005	  0.00	0.0010	  0.10	0.0008	985.00	0.0000	 35.00	0.0000	 44.71	0.0000	-93.08	0.0000	V8 29 05202020_000114.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
