Line	Date	Time	SpectrumFile	LibraryFile	Water vapor H2O	Unit	 Compensation	 Residual	Carbon dioxide CO2	Unit	 Compensation	 Residual	Methane CH4	Unit	 Compensation	 Residual	Nitrous oxide N2O	Unit	 Compensation	 Residual	Carbon monoxide CO	Unit	 Compensation	 Residual	Ammonia NH3	Unit	 Compensation	 Residual	Ambient pressure	Unit	 Compensation	 Residual	Cell temperature	Unit	 Compensation	 Residual	Longitude GPS	Unit	 Compensation	 Residual	Latitude GPS	Unit	 Compensation	 Residual	 Status
0	2023-04-13	13:55:48	D:\Shared drives\SEECRS (Gutknecht) lab\Data\Gasmet data\2023\spe_compiled\R_ncas_i02_2023-04-13_2405_00000.SPE	GAS-APP-GHG_c12_15_Rev-AB.LIB	 -0.00	vol-%	wet	0.0005	   0.4	ppm	wet	0.0004	  0.00	ppm	wet	0.0007	 0.005	ppm	wet	0.0004	  0.00	ppm	wet	0.0004	  0.00	ppm	wet	0.0039	968.00	mbar	N/A	0.0000	 40.00	°C	N/A	0.0000	  0.00	ppm	N/A	0.0000	  0.00	ppm	N/A	0.0000	OK
0	2023-04-13	14:14:37	D:\Shared drives\SEECRS (Gutknecht) lab\Data\Gasmet data\2023\spe_compiled\R_ncas_i02_2023-04-13_504_00001.SPE	GAS-APP-GHG_c12_15_Rev-AB.LIB	 -0.00	vol-%	wet	0.0006	   2.1	ppm	wet	0.0006	  0.02	ppm	wet	0.0014	 0.027	ppm	wet	0.0006	  0.00	ppm	wet	0.0006	  0.00	ppm	wet	0.0033	968.00	mbar	N/A	0.0000	 42.00	°C	N/A	0.0000	  0.00	ppm	N/A	0.0000	  0.00	ppm	N/A	0.0000	OK
0	2023-04-13	14:14:58	D:\Shared drives\SEECRS (Gutknecht) lab\Data\Gasmet data\2023\spe_compiled\R_ncas_i02_2023-04-13_504_00002.SPE	GAS-APP-GHG_c12_15_Rev-AB.LIB	 -0.00	vol-%	wet	0.0007	   0.9	ppm	wet	0.0010	  0.03	ppm	wet	0.0016	 0.000	ppm	wet	0.0007	  0.00	ppm	wet	0.0008	  0.00	ppm	wet	0.0037	968.00	mbar	N/A	0.0000	 42.00	°C	N/A	0.0000	  0.00	ppm	N/A	0.0000	  0.00	ppm	N/A	0.0000	OK
0	2023-04-13	14:15:19	D:\Shared drives\SEECRS (Gutknecht) lab\Data\Gasmet data\2023\spe_compiled\R_ncas_i02_2023-04-13_504_00003.SPE	GAS-APP-GHG_c12_15_Rev-AB.LIB	 -0.00	vol-%	wet	0.0007	   0.3	ppm	wet	0.0011	  0.04	ppm	wet	0.0015	 0.015	ppm	wet	0.0008	  0.00	ppm	wet	0.0008	  0.00	ppm	wet	0.0034	968.00	mbar	N/A	0.0000	 42.00	°C	N/A	0.0000	  0.00	ppm	N/A	0.0000	  0.00	ppm	N/A	0.0000	OK
0	2023-04-13	14:15:40	D:\Shared drives\SEECRS (Gutknecht) lab\Data\Gasmet data\2023\spe_compiled\R_ncas_i02_2023-04-13_504_00004.SPE	GAS-APP-GHG_c12_15_Rev-AB.LIB	 -0.00	vol-%	wet	0.0007	   0.2	ppm	wet	0.0010	  0.03	ppm	wet	0.0014	 0.019	ppm	wet	0.0010	  0.00	ppm	wet	0.0009	  0.00	ppm	wet	0.0037	968.00	mbar	N/A	0.0000	 42.00	°C	N/A	0.0000	  0.00	ppm	N/A	0.0000	  0.00	ppm	N/A	0.0000	OK
0	2023-04-13	14:16:01	D:\Shared drives\SEECRS (Gutknecht) lab\Data\Gasmet data\2023\spe_compiled\R_ncas_i02_2023-04-13_504_00005.SPE	GAS-APP-GHG_c12_15_Rev-AB.LIB	 -0.00	vol-%	wet	0.0013	   0.1	ppm	wet	0.0012	  0.05	ppm	wet	0.0013	 0.017	ppm	wet	0.0010	  0.00	ppm	wet	0.0009	  0.00	ppm	wet	0.0038	968.00	mbar	N/A	0.0000	 41.00	°C	N/A	0.0000	  0.00	ppm	N/A	0.0000	  0.00	ppm	N/A	0.0000	OK
0	2023-04-13	14:16:22	D:\Shared drives\SEECRS (Gutknecht) lab\Data\Gasmet data\2023\spe_compiled\R_ncas_i02_2023-04-13_504_00006.SPE	GAS-APP-GHG_c12_15_Rev-AB.LIB	 -0.00	vol-%	wet	0.0008	  -0.3	ppm	wet	0.0012	  0.02	ppm	wet	0.0013	 0.012	ppm	wet	0.0009	  0.00	ppm	wet	0.0009	  0.00	ppm	wet	0.0039	968.00	mbar	N/A	0.0000	 42.00	°C	N/A	0.0000	  0.00	ppm	N/A	0.0000	  0.00	ppm	N/A	0.0000	OK
0	2023-04-13	14:16:43	D:\Shared drives\SEECRS (Gutknecht) lab\Data\Gasmet data\2023\spe_compiled\R_ncas_i02_2023-04-13_504_00007.SPE	GAS-APP-GHG_c12_15_Rev-AB.LIB	 -0.00	vol-%	wet	0.0009	  -1.4	ppm	wet	0.0011	  0.03	ppm	wet	0.0012	 0.013	ppm	wet	0.0008	  0.00	ppm	wet	0.0008	  0.00	ppm	wet	0.0038	968.00	mbar	N/A	0.0000	 42.00	°C	N/A	0.0000	  0.00	ppm	N/A	0.0000	  0.00	ppm	N/A	0.0000	OK
0	2023-04-13	14:17:04	D:\Shared drives\SEECRS (Gutknecht) lab\Data\Gasmet data\2023\spe_compiled\R_ncas_i02_2023-04-13_504_00008.SPE	GAS-APP-GHG_c12_15_Rev-AB.LIB	 -0.00	vol-%	wet	0.0007	  -1.6	ppm	wet	0.0012	  0.04	ppm	wet	0.0012	 0.004	ppm	wet	0.0009	  0.00	ppm	wet	0.0009	  0.00	ppm	wet	0.0038	968.00	mbar	N/A	0.0000	 42.00	°C	N/A	0.0000	  0.00	ppm	N/A	0.0000	  0.00	ppm	N/A	0.0000	OK
0	2023-04-13	14:17:25	D:\Shared drives\SEECRS (Gutknecht) lab\Data\Gasmet data\2023\spe_compiled\R_ncas_i02_2023-04-13_504_00009.SPE	GAS-APP-GHG_c12_15_Rev-AB.LIB	 -0.00	vol-%	wet	0.0008	  -1.6	ppm	wet	0.0014	  0.03	ppm	wet	0.0012	 0.004	ppm	wet	0.0009	  0.00	ppm	wet	0.0008	  0.00	ppm	wet	0.0037	968.00	mbar	N/A	0.0000	 42.00	°C	N/A	0.0000	  0.00	ppm	N/A	0.0000	  0.00	ppm	N/A	0.0000	OK
