Date	Water vapor H2O (vol-%)	Residual	Carbon dioxide CO2 (ppm)	Residual	Methane CH4 (ppm)	Residual	Nitrous oxide N2O (ppm)	Residual	Carbon monoxide CO (ppm)	Residual	Ammonia NH3 (ppm)	Residual	Ambient pressure (mbar)	Residual	Cell temperature (°C)	Residual	Longitude GPS (ppm)	Residual	Latitude GPS (ppm)	Residual	Spectrum file	Library file
2019-08-06 10:57:27	  0.47	0.0013	 808.4	0.0007	  1.99	0.0011	 0.356	0.0006	  0.00	0.0006	  0.00	0.0012	977.00	0.0000	 34.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w2_000052.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-06 10:57:52	  0.48	0.0012	 632.8	0.0017	  1.97	0.0013	 0.377	0.0008	  0.00	0.0007	  0.00	0.0011	977.00	0.0000	 34.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w2_000053.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-06 10:58:17	  0.49	0.0017	 563.0	0.0012	  2.08	0.0009	 0.363	0.0008	  0.00	0.0007	  0.00	0.0014	977.00	0.0000	 34.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w2_000054.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-06 10:58:42	  0.48	0.0012	 540.3	0.0010	  2.09	0.0012	 0.359	0.0008	  0.00	0.0006	  0.00	0.0009	977.00	0.0000	 34.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w2_000055.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-06 10:59:06	  0.46	0.0017	 546.8	0.0013	  1.87	0.0014	 0.366	0.0007	  0.00	0.0008	  0.00	0.0012	977.00	0.0000	 34.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w2_000056.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-06 10:59:31	  0.47	0.0008	 561.3	0.0012	  2.06	0.0010	 0.364	0.0008	  0.00	0.0008	  0.01	0.0011	977.00	0.0000	 34.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w2_000057.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-06 10:59:56	  0.47	0.0013	 579.2	0.0012	  1.97	0.0010	 0.363	0.0008	  0.00	0.0008	  0.00	0.0012	977.00	0.0000	 34.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w2_000058.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-06 11:00:21	  0.46	0.0008	 602.4	0.0016	  2.03	0.0013	 0.363	0.0007	  0.00	0.0009	  0.00	0.0007	977.00	0.0000	 34.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w2_000059.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-06 11:00:46	  0.47	0.0009	 621.9	0.0017	  2.08	0.0012	 0.397	0.0008	  0.00	0.0009	  0.00	0.0012	977.00	0.0000	 34.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w2_000060.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-06 11:01:11	  0.46	0.0009	 643.2	0.0020	  2.02	0.0013	 0.369	0.0007	  0.00	0.0009	  0.00	0.0016	977.00	0.0000	 35.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w2_000061.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-06 11:01:35	  0.46	0.0012	 664.1	0.0020	  1.93	0.0012	 0.389	0.0009	  0.00	0.0009	  0.00	0.0011	977.00	0.0000	 34.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w2_000062.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-06 11:02:00	  0.45	0.0011	 689.9	0.0023	  2.04	0.0010	 0.405	0.0008	  0.00	0.0011	  0.00	0.0009	977.00	0.0000	 35.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w2_000063.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-06 11:02:25	  0.46	0.0011	 706.3	0.0022	  2.06	0.0013	 0.381	0.0007	  0.00	0.0009	  0.00	0.0013	977.00	0.0000	 35.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w2_000064.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-06 11:02:50	  0.45	0.0014	 728.1	0.0023	  2.02	0.0011	 0.410	0.0007	  0.00	0.0010	  0.00	0.0013	977.00	0.0000	 35.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w2_000065.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
