Date	Water vapor H2O (vol-%)	Residual	Carbon dioxide CO2 (ppm)	Residual	Methane CH4 (ppm)	Residual	Nitrous oxide N2O (ppm)	Residual	Carbon monoxide CO (ppm)	Residual	Ammonia NH3 (ppm)	Residual	Ambient pressure (mbar)	Residual	Cell temperature (°C)	Residual	Longitude GPS (ppm)	Residual	Latitude GPS (ppm)	Residual	Spectrum file	Library file
2019-08-06 11:29:43	  0.40	0.0013	 647.7	0.0016	  2.01	0.0011	 0.350	0.0010	  0.00	0.0009	  0.00	0.0010	977.00	0.0000	 38.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w3 soil_000105.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-06 11:30:08	  0.40	0.0018	 556.6	0.0010	  1.96	0.0011	 0.353	0.0009	  0.00	0.0009	  0.04	0.0007	977.00	0.0000	 38.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w3 soil_000106.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-06 11:30:33	  0.39	0.0014	 528.3	0.0011	  1.94	0.0010	 0.344	0.0010	  0.00	0.0009	  0.00	0.0008	977.00	0.0000	 38.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w3 soil_000107.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-06 11:30:58	  0.39	0.0010	 530.9	0.0009	  2.01	0.0013	 0.350	0.0008	  0.00	0.0008	  0.00	0.0013	977.00	0.0000	 38.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w3 soil_000108.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-06 11:31:23	  0.39	0.0015	 536.7	0.0009	  2.06	0.0015	 0.345	0.0008	  0.00	0.0008	  0.00	0.0015	977.00	0.0000	 38.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w3 soil_000109.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-06 11:31:48	  0.38	0.0013	 556.3	0.0011	  2.03	0.0012	 0.339	0.0010	  0.00	0.0009	  0.09	0.0010	977.00	0.0000	 38.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w3 soil_000110.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-06 11:32:13	  0.38	0.0014	 568.5	0.0012	  1.99	0.0012	 0.335	0.0010	  0.00	0.0010	  0.00	0.0017	977.00	0.0000	 38.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w3 soil_000111.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-06 11:32:38	  0.39	0.0015	 582.6	0.0013	  1.99	0.0011	 0.343	0.0009	  0.00	0.0009	  0.00	0.0010	977.00	0.0000	 38.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w3 soil_000112.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-06 11:33:03	  0.40	0.0009	 598.9	0.0014	  2.00	0.0009	 0.328	0.0009	  0.00	0.0009	  0.00	0.0014	977.00	0.0000	 38.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w3 soil_000113.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-06 11:33:28	  0.41	0.0010	 615.6	0.0015	  2.03	0.0010	 0.335	0.0009	  0.00	0.0008	  0.00	0.0011	977.00	0.0000	 38.00	0.0000	 44.69	0.0000	-93.07	0.0000	hr 08062019 w3 soil_000114.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
