Date	Water vapor H2O (vol-%)	Residual	Carbon dioxide CO2 (ppm)	Residual	Methane CH4 (ppm)	Residual	Nitrous oxide N2O (ppm)	Residual	Carbon monoxide CO (ppm)	Residual	Ammonia NH3 (ppm)	Residual	Ambient pressure (mbar)	Residual	Cell temperature (°C)	Residual	Longitude GPS (ppm)	Residual	Latitude GPS (ppm)	Residual	Spectrum file	Library file
2019-08-15 11:33:10	  0.09	0.0006	 192.2	0.0007	  0.64	0.0015	 0.133	0.0004	  0.37	0.0003	  0.15	0.0009	981.00	0.0000	 31.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1 08152019_000001.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 11:33:34	  0.06	0.0007	 407.1	0.0009	  1.47	0.0012	 0.287	0.0005	  0.18	0.0004	  0.05	0.0005	981.00	0.0000	 31.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1 08152019_000002.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 11:33:58	  0.04	0.0008	 473.4	0.0008	  1.81	0.0011	 0.284	0.0004	  0.04	0.0004	  0.04	0.0006	981.00	0.0000	 31.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1 08152019_000003.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 11:34:23	  0.03	0.0006	 505.2	0.0008	  1.81	0.0015	 0.328	0.0003	  0.00	0.0004	  0.00	0.0006	981.00	0.0000	 31.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1 08152019_000004.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 11:34:47	  0.03	0.0006	 526.9	0.0010	  1.90	0.0010	 0.343	0.0003	  0.00	0.0003	  0.02	0.0004	981.00	0.0000	 31.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1 08152019_000005.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 11:35:11	  0.02	0.0006	 542.9	0.0013	  1.90	0.0014	 0.336	0.0003	  0.00	0.0004	  0.10	0.0012	981.00	0.0000	 31.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1 08152019_000006.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 11:35:36	  0.02	0.0005	 561.1	0.0013	  1.89	0.0013	 0.370	0.0005	  0.00	0.0006	  0.08	0.0008	981.00	0.0000	 31.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1 08152019_000007.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 11:36:00	  0.02	0.0006	 581.0	0.0012	  1.81	0.0015	 0.363	0.0004	  0.00	0.0008	  0.05	0.0008	981.00	0.0000	 31.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1 08152019_000008.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 11:36:24	  0.01	0.0007	 599.6	0.0017	  1.81	0.0015	 0.338	0.0004	  0.00	0.0006	  0.01	0.0006	981.00	0.0000	 31.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1 08152019_000009.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 11:36:48	  0.02	0.0004	 620.9	0.0016	  1.88	0.0015	 0.340	0.0004	  0.00	0.0006	  0.01	0.0008	981.00	0.0000	 31.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1 08152019_000010.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 11:37:13	  0.02	0.0006	 644.9	0.0019	  1.91	0.0012	 0.351	0.0004	  0.00	0.0007	  0.15	0.0008	981.00	0.0000	 32.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1 08152019_000011.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 11:37:37	  0.02	0.0006	 661.7	0.0019	  1.86	0.0015	 0.338	0.0004	  0.00	0.0007	  0.12	0.0006	981.00	0.0000	 32.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1 08152019_000012.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 11:38:01	  0.02	0.0006	 673.8	0.0022	  1.94	0.0015	 0.372	0.0004	  0.00	0.0008	  0.05	0.0008	981.00	0.0000	 31.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1 08152019_000013.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 11:38:26	  0.02	0.0005	 687.3	0.0023	  1.74	0.0013	 0.361	0.0005	  0.00	0.0009	  0.10	0.0008	981.00	0.0000	 32.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1 08152019_000014.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 11:38:50	  0.01	0.0005	 698.8	0.0024	  1.82	0.0018	 0.349	0.0004	  0.00	0.0007	  0.04	0.0011	981.00	0.0000	 32.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1 08152019_000015.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 11:39:14	  0.01	0.0004	 713.2	0.0026	  1.95	0.0017	 0.385	0.0005	  0.00	0.0008	  0.20	0.0008	981.00	0.0000	 32.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1 08152019_000016.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 11:39:39	  0.02	0.0007	 725.9	0.0026	  1.85	0.0013	 0.360	0.0005	  0.00	0.0008	  0.05	0.0006	981.00	0.0000	 32.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1 08152019_000017.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 11:40:03	  0.02	0.0006	 749.1	0.0021	  1.88	0.0014	 0.369	0.0003	  0.00	0.0006	  0.10	0.0008	981.00	0.0000	 32.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1 08152019_000018.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
