Date	Water vapor H2O (vol-%)	Residual	Carbon dioxide CO2 (ppm)	Residual	Methane CH4 (ppm)	Residual	Nitrous oxide N2O (ppm)	Residual	Carbon monoxide CO (ppm)	Residual	Ammonia NH3 (ppm)	Residual	Ambient pressure (mbar)	Residual	Cell temperature (°C)	Residual	Longitude GPS (ppm)	Residual	Latitude GPS (ppm)	Residual	Spectrum file	Library file
2019-08-15 12:51:33	  0.06	0.0006	 755.2	0.0010	  2.03	0.0014	 0.323	0.0005	  0.03	0.0006	  0.10	0.0007	980.00	0.0000	 38.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k3.2 08152019_000098.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 12:51:58	  0.05	0.0008	 726.2	0.0026	  1.94	0.0018	 0.360	0.0008	  0.00	0.0008	  0.15	0.0008	980.00	0.0000	 38.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k3.2 08152019_000099.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 12:52:22	  0.05	0.0006	 736.8	0.0025	  1.99	0.0013	 0.356	0.0007	  0.00	0.0009	  0.17	0.0009	980.00	0.0000	 38.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k3.2 08152019_000100.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 12:52:47	  0.05	0.0005	 776.0	0.0012	  2.16	0.0017	 0.285	0.0005	  0.01	0.0004	  0.12	0.0010	980.00	0.0000	 38.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k3.2 08152019_000101.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 12:53:11	  0.05	0.0006	 813.7	0.0011	  1.96	0.0017	 0.306	0.0005	  0.00	0.0005	  0.07	0.0011	980.00	0.0000	 38.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k3.2 08152019_000102.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 12:53:36	  0.06	0.0006	 859.0	0.0006	  2.02	0.0015	 0.354	0.0007	  0.00	0.0006	  0.17	0.0009	980.00	0.0000	 38.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k3.2 08152019_000103.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 12:54:00	  0.06	0.0008	 895.0	0.0010	  1.97	0.0015	 0.359	0.0006	  0.00	0.0006	  0.10	0.0011	980.00	0.0000	 38.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k3.2 08152019_000104.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 12:54:24	  0.06	0.0005	 924.5	0.0010	  1.92	0.0015	 0.362	0.0005	  0.00	0.0006	  0.16	0.0010	980.00	0.0000	 38.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k3.2 08152019_000105.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 12:54:49	  0.05	0.0009	 956.5	0.0012	  1.89	0.0015	 0.352	0.0006	  0.00	0.0006	  0.01	0.0011	980.00	0.0000	 38.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k3.2 08152019_000106.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 12:55:14	  0.06	0.0006	 984.0	0.0013	  1.95	0.0018	 0.356	0.0004	  0.00	0.0005	  0.10	0.0008	980.00	0.0000	 39.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k3.2 08152019_000107.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 12:55:38	  0.05	0.0010	1014.4	0.0017	  2.05	0.0018	 0.355	0.0006	  0.00	0.0008	  0.09	0.0007	980.00	0.0000	 38.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k3.2 08152019_000108.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 12:56:03	  0.05	0.0007	1037.5	0.0018	  2.04	0.0018	 0.367	0.0007	  0.00	0.0007	  0.03	0.0006	980.00	0.0000	 38.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k3.2 08152019_000109.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 12:56:27	  0.06	0.0013	1063.8	0.0019	  1.94	0.0013	 0.366	0.0006	  0.00	0.0007	  0.13	0.0011	980.00	0.0000	 39.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k3.2 08152019_000110.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 12:56:52	  0.06	0.0009	1075.8	0.0019	  1.95	0.0016	 0.364	0.0006	  0.00	0.0006	  0.07	0.0005	980.00	0.0000	 38.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k3.2 08152019_000111.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 12:57:17	  0.05	0.0009	1103.9	0.0020	  1.89	0.0015	 0.355	0.0006	  0.00	0.0006	  0.09	0.0013	980.00	0.0000	 39.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k3.2 08152019_000112.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
