Date	Water vapor H2O (vol-%)	Residual	Carbon dioxide CO2 (ppm)	Residual	Methane CH4 (ppm)	Residual	Nitrous oxide N2O (ppm)	Residual	Carbon monoxide CO (ppm)	Residual	Ammonia NH3 (ppm)	Residual	Ambient pressure (mbar)	Residual	Cell temperature (°C)	Residual	Longitude GPS (ppm)	Residual	Latitude GPS (ppm)	Residual	Spectrum file	Library file
2019-08-09 10:36:52	  0.03	0.0006	 689.6	0.0020	  1.95	0.0008	 0.347	0.0005	  0.00	0.0007	  0.07	0.0008	981.00	0.0000	 31.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s nr4 08092019_000049.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 10:37:16	  0.03	0.0006	 648.7	0.0017	  2.00	0.0005	 0.382	0.0004	  0.00	0.0008	  0.00	0.0010	981.00	0.0000	 31.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s nr4 08092019_000050.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 10:37:40	  0.03	0.0009	 605.5	0.0014	  2.02	0.0004	 0.346	0.0004	  0.00	0.0006	  0.03	0.0007	981.00	0.0000	 32.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s nr4 08092019_000051.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 10:38:04	  0.03	0.0003	 574.7	0.0012	  1.99	0.0006	 0.370	0.0005	  0.00	0.0007	  0.02	0.0009	981.00	0.0000	 31.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s nr4 08092019_000052.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 10:38:28	  0.03	0.0005	 559.1	0.0012	  2.02	0.0005	 0.330	0.0005	  0.00	0.0007	  0.05	0.0008	981.00	0.0000	 32.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s nr4 08092019_000053.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 10:38:52	  0.03	0.0007	 552.3	0.0010	  1.94	0.0006	 0.344	0.0003	  0.00	0.0005	  0.00	0.0006	981.00	0.0000	 31.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s nr4 08092019_000054.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 10:39:16	  0.03	0.0006	 555.1	0.0011	  1.97	0.0006	 0.347	0.0004	  0.00	0.0006	  0.00	0.0006	981.00	0.0000	 32.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s nr4 08092019_000055.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 10:39:40	  0.03	0.0007	 556.4	0.0010	  1.87	0.0006	 0.352	0.0004	  0.00	0.0006	  0.00	0.0006	981.00	0.0000	 31.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s nr4 08092019_000056.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 10:40:04	  0.03	0.0007	 566.5	0.0010	  2.02	0.0007	 0.324	0.0005	  0.00	0.0006	  0.14	0.0005	981.00	0.0000	 32.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s nr4 08092019_000057.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 10:40:28	  0.03	0.0004	 575.1	0.0010	  2.00	0.0009	 0.344	0.0004	  0.00	0.0005	  0.15	0.0005	981.00	0.0000	 32.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s nr4 08092019_000058.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 10:40:52	  0.03	0.0005	 583.7	0.0012	  1.98	0.0004	 0.347	0.0005	  0.00	0.0006	  0.00	0.0007	981.00	0.0000	 32.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s nr4 08092019_000059.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 10:41:16	  0.03	0.0006	 590.3	0.0012	  1.93	0.0006	 0.340	0.0003	  0.00	0.0006	  0.00	0.0009	981.00	0.0000	 31.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s nr4 08092019_000060.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 10:41:40	  0.03	0.0005	 601.5	0.0011	  1.99	0.0007	 0.319	0.0003	  0.00	0.0006	  0.06	0.0005	981.00	0.0000	 32.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s nr4 08092019_000061.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 10:42:05	  0.02	0.0008	 609.0	0.0013	  2.03	0.0005	 0.366	0.0004	  0.00	0.0007	  0.00	0.0009	981.00	0.0000	 32.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s nr4 08092019_000062.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 10:42:29	  0.02	0.0007	 616.1	0.0016	  1.99	0.0006	 0.354	0.0004	  0.00	0.0008	  0.03	0.0008	981.00	0.0000	 32.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s nr4 08092019_000063.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 10:42:53	  0.02	0.0005	 619.6	0.0015	  1.94	0.0005	 0.347	0.0005	  0.00	0.0007	  0.10	0.0006	981.00	0.0000	 31.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s nr4 08092019_000064.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
