Date	Water vapor H2O (vol-%)	Residual	Carbon dioxide CO2 (ppm)	Residual	Methane CH4 (ppm)	Residual	Nitrous oxide N2O (ppm)	Residual	Carbon monoxide CO (ppm)	Residual	Ammonia NH3 (ppm)	Residual	Ambient pressure (mbar)	Residual	Cell temperature (°C)	Residual	Longitude GPS (ppm)	Residual	Latitude GPS (ppm)	Residual	Spectrum file	Library file
2019-08-09 11:24:17	  0.04	0.0006	 935.3	0.0012	  1.89	0.0008	 0.290	0.0005	  0.00	0.0006	  0.00	0.0010	982.00	0.0000	 33.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s r2.2 08092019_000114.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 11:24:41	  0.03	0.0008	 856.2	0.0014	  1.94	0.0006	 0.303	0.0005	  0.00	0.0007	  0.19	0.0007	982.00	0.0000	 33.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s r2.2 08092019_000115.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 11:25:05	  0.04	0.0005	 810.7	0.0014	  1.96	0.0007	 0.353	0.0004	  0.00	0.0006	  0.06	0.0008	982.00	0.0000	 33.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s r2.2 08092019_000116.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 11:25:29	  0.04	0.0006	 801.4	0.0015	  1.99	0.0007	 0.331	0.0004	  0.00	0.0006	  0.03	0.0010	982.00	0.0000	 33.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s r2.2 08092019_000117.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 11:25:53	  0.04	0.0007	 817.2	0.0014	  2.04	0.0006	 0.376	0.0003	  0.00	0.0007	  0.13	0.0009	982.00	0.0000	 33.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s r2.2 08092019_000118.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 11:26:17	  0.04	0.0004	 838.1	0.0013	  1.94	0.0007	 0.333	0.0003	  0.00	0.0005	  0.06	0.0006	982.00	0.0000	 33.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s r2.2 08092019_000119.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 11:26:41	  0.03	0.0006	 868.6	0.0011	  1.97	0.0005	 0.344	0.0003	  0.00	0.0006	  0.15	0.0010	982.00	0.0000	 33.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s r2.2 08092019_000120.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 11:27:05	  0.04	0.0004	 906.8	0.0008	  1.83	0.0007	 0.368	0.0003	  0.00	0.0008	  0.13	0.0009	982.00	0.0000	 33.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s r2.2 08092019_000121.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 11:27:29	  0.04	0.0007	 941.2	0.0010	  1.95	0.0005	 0.357	0.0004	  0.00	0.0007	  0.14	0.0009	982.00	0.0000	 33.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s r2.2 08092019_000122.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-09 11:27:53	  0.03	0.0006	 967.8	0.0015	  2.05	0.0005	 0.360	0.0003	  0.00	0.0006	  0.00	0.0007	982.00	0.0000	 33.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr s r2.2 08092019_000123.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
