datetime,date,time,co2,ch4,n20,filename
8/6/2019 10:44,8/6/2019,10:44:12,889.1,1.93,0.345,hr 08062019 w1 soil.txt
8/6/2019 10:44,8/6/2019,10:44:37,679.8,1.87,0.345,hr 08062019 w1 soil.txt
8/6/2019 10:45,8/6/2019,10:45:02,585.5,1.9,0.322,hr 08062019 w1 soil.txt
8/6/2019 10:45,8/6/2019,10:45:27,559.6,1.86,0.345,hr 08062019 w1 soil.txt
8/6/2019 10:45,8/6/2019,10:45:52,558.7,1.96,0.343,hr 08062019 w1 soil.txt
8/6/2019 10:46,8/6/2019,10:46:17,563.9,1.98,0.328,hr 08062019 w1 soil.txt
8/6/2019 10:46,8/6/2019,10:46:42,575.8,2.08,0.341,hr 08062019 w1 soil.txt
8/6/2019 10:47,8/6/2019,10:47:06,587.3,2.07,0.337,hr 08062019 w1 soil.txt
8/6/2019 10:47,8/6/2019,10:47:31,601.4,2.02,0.335,hr 08062019 w1 soil.txt
8/6/2019 10:47,8/6/2019,10:47:56,613.1,2.03,0.328,hr 08062019 w1 soil.txt
8/6/2019 10:48,8/6/2019,10:48:21,627.2,2.02,0.344,hr 08062019 w1 soil.txt
8/6/2019 10:48,8/6/2019,10:48:46,641.1,2.19,0.346,hr 08062019 w1 soil.txt
8/6/2019 10:49,8/6/2019,10:49:11,654.9,2.07,0.348,hr 08062019 w1 soil.txt
8/6/2019 10:49,8/6/2019,10:49:36,667.9,1.98,0.348,hr 08062019 w1 soil.txt
8/6/2019 10:50,8/6/2019,10:50:01,680,2.05,0.355,hr 08062019 w1 soil.txt
8/6/2019 10:50,8/6/2019,10:50:26,693.5,2.05,0.35,hr 08062019 w1 soil.txt
8/6/2019 10:50,8/6/2019,10:50:51,706.2,2.1,0.347,hr 08062019 w1 soil.txt
8/6/2019 10:51,8/6/2019,10:51:15,717.3,2.1,0.349,hr 08062019 w1 soil.txt
8/6/2019 10:51,8/6/2019,10:51:40,728.7,1.98,0.355,hr 08062019 w1 soil.txt
8/6/2019 10:52,8/6/2019,10:52:05,739.4,2.03,0.361,hr 08062019 w1 soil.txt
